Field=#~Integer~#~50|Field=Category~String~Category~100|Field=Description~String~Description~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Kit_Rele_v1.PrjPcb|ReportField=ProjectFullPath~C:\Users\Robinho\Desktop\Estudos\Hardware\Altium\Kit Rele V1\Kit_Rele_v1.PrjPcb|ReportField=Title~Bill of Materials For Project [Kit_Rele_v1.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~14:22:17|ReportField=ReportDate~26/10/2020|ReportField=ReportDateTime~26/10/2020 14:22:17|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~6|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~26/10/2020|ReportField=CurrentTime~14:14:14|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Robinho\Desktop\Estudos\Hardware\Altium\Kit Rele V1\Kit_Rele_v1_SCH.SchDoc|ReportField=DocumentName~Kit_Rele_v1_SCH.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~23/10/2020|ReportField=Organization~|ReportField=ProjectName~Kit_Rele_v1.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Kit_Rele_v1.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Robinho\Desktop\Estudos\Hardware\Altium\Kit Rele V1\Kit_Rele_v1.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Board-To-Board Connector, Vertical, Wr-Phd Series, Through Hole, Header, 3, 2.54 Mm|CONN HEADER|61300311121|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}61300311121{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DWurth%2520Electronics%26mpn%3D61300311121%26seller%3DDigi-Key%26sku%3D732-5316-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}732-5316-ND{URL.TIP}Supplier|76350|6,7|0,07
2|Diode|Small Signal Schottky Diode, Single, 30 V, 200 mA, 800 mV, 600 mA, 150 C ;RoHS Compliant: Yes|DIODE BAT54|BAT54HT1G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor%20%2F%20Fairchild{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BAT54HT1G{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%2520%252F%2520Fairchild%26mpn%3DBAT54HT1G%26seller%3DDigi-Key%26sku%3DBAT54HT1GOSCT-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}BAT54HT1GOSCT-ND{URL.TIP}Supplier|260764|6,62|0,07
3|Connectors|PHOENIX CONTACT - PT1,5/3-5.0-H - Wire-To-Board Terminal Block, 5 mm, 3 Ways, 26 AWG, 16 AWG, 1.5 mm², Screw|Terminal Block|1935174|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1935174%26seller%3DDigi-Key%26sku%3D277-1578-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Phoenix%20Contact{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1935174%26seller%3DDigi-Key%26sku%3D277-1578-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1935174{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPhoenix%2520Contact%26mpn%3D1935174%26seller%3DDigi-Key%26sku%3D277-1578-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}277-1578-ND{URL.TIP}Supplier|20531|53,93|0,54
4|Transistor|TRANS NPN 40V 0.2A SOT23|Transistor SOT-23|MMBT3904-TP|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMCC%26mpn%3DMMBT3904-TP%26seller%3DDigi-Key%26sku%3DMMBT3904TPMSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}MCC{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMCC%26mpn%3DMMBT3904-TP%26seller%3DDigi-Key%26sku%3DMMBT3904TPMSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}MMBT3904-TP{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMCC%26mpn%3DMMBT3904-TP%26seller%3DDigi-Key%26sku%3DMMBT3904TPMSDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}MMBT3904TPMSDKR-ND{URL.TIP}Supplier|1340|3,19|0,03
5|Chip Resistor - Surface Mount|RES SMD 1K OHM 5% 1/4W 1206|R1206|RC1206JR-071KL|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC1206JR-071KL%26seller%3DDigi-Key%26sku%3D311-1.0KERDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Yageo{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC1206JR-071KL%26seller%3DDigi-Key%26sku%3D311-1.0KERDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}RC1206JR-071KL{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DYageo%26mpn%3DRC1206JR-071KL%26seller%3DDigi-Key%26sku%3D311-1.0KERDKR-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}311-1.0KERDKR-ND{URL.TIP}Supplier|1912353|2,27|0,02
6|Relays|RELAY GEN PURPOSE SPDT 10A 5V|Relay|G5LE-1-36DC5|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DG5LE-1-36DC5%26seller%3DDigi-Key%26sku%3DG5LE-1-36DC5-ND%26country%3DBR%26channel%3DBOM%2520Report%26{URL.TEXT}Omron{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DG5LE-1-36DC5%26seller%3DDigi-Key%26sku%3DG5LE-1-36DC5-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}G5LE-1-36DC5{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOmron%26mpn%3DG5LE-1-36DC5%26seller%3DDigi-Key%26sku%3DG5LE-1-36DC5-ND%26country%3DBR%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}G5LE-1-36DC5-ND{URL.TIP}Supplier|1504|108,88|1,09
